City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,maningrida,-12.0667,134.2667,75.49,90,100,6.4,AU,1680117055
142,coquimbo,-29.9533,-71.3436,67.73,72,20,14.97,CL,1680116925
143,mar del plata,-38.0023,-57.5575,69.1,53,40,16.11,AR,1680117055
144,jamestown,42.097,-79.2353,47.52,43,75,21.85,US,1680116863
145,moron,-34.6534,-58.6198,76.69,60,76,9.86,AR,1680117056
146,saint-joseph,-21.3667,55.6167,77.38,80,80,10.47,RE,1680117056
147,mahebourg,-20.4081,57.7,79.25,80,99,13.02,MU,1680117056
148,north bend,43.4065,-124.2243,56.91,56,0,4.61,US,1680117056
149,bowen,-20.0167,148.2333,77.59,82,24,2.44,AU,1680117056
150,diffa,13.3154,12.6113,82.85,12,53,6.51,NE,1680117056
151,bambous virieux,-20.3428,57.7575,79.21,80,100,13.47,MU,1680117057
152,polunochnoye,60.8697,60.4153,9.18,95,9,3.76,RU,1680117057
153,faanui,-16.4833,-151.75,82.45,74,93,10.02,PF,1680117057
154,santa rosa,14.3122,121.1114,79.11,85,100,4.56,PH,1680116919
155,janakpur,26.7183,85.9065,74.95,23,66,3.53,NP,1680117057
156,colares,38.7992,-9.4469,66.33,78,20,11.99,PT,1680117058
157,coihaique,-45.5752,-72.0662,48.15,66,75,6.91,CL,1680116878
158,khromtau,50.2503,58.4347,35.53,91,100,25.46,KZ,1680117058
159,tartagal,-22.5164,-63.8013,90.88,51,6,3.65,AR,1680117058
160,aklavik,68.2191,-135.0107,9.14,85,6,11.97,CA,1680117058
161,port elizabeth,-33.918,25.5701,60.31,76,42,8.01,ZA,1680117058
162,cayenne,4.9333,-52.3333,82.44,74,100,12.66,GF,1680117058
163,belyy yar,53.6039,91.3903,35.49,64,0,0.0,RU,1680117058
164,clyde river,70.4692,-68.5914,5.07,91,95,2.28,CA,1680117059
165,tucuman,-26.8241,-65.2226,89.6,58,40,6.91,AR,1680117059
166,kieta,-6.2167,155.6333,77.86,87,100,3.91,PG,1680117059
167,hofn,64.2539,-15.2082,37.11,98,100,27.34,IS,1680117060
168,paris,48.8534,2.3488,68.18,56,0,11.5,FR,1680117013
169,omboue,-1.5746,9.2618,76.48,82,100,5.41,GA,1680117060
170,abu dhabi,24.4667,54.3667,77.95,57,0,9.22,AE,1680116789
171,port augusta,-32.5,137.7667,58.78,78,8,6.2,AU,1680117060
172,mahina,-17.5065,-149.489,85.77,66,75,11.5,PF,1680117061
173,fortuna,40.5982,-124.1573,57.34,58,100,1.99,US,1680117062
174,tura,25.5198,90.2201,68.76,75,66,4.52,IN,1680117062
175,canico,32.6333,-16.85,77.72,67,20,3.44,PT,1680117063
176,constitucion,-35.3333,-72.4167,65.37,50,6,18.43,CL,1680117063
177,hasaki,35.7333,140.8333,52.29,74,91,3.36,JP,1680117063
178,yulara,-25.2406,130.9889,69.8,46,66,13.33,AU,1680117063
179,saint george,37.1041,-113.5841,63.25,25,0,11.5,US,1680116939
180,olafsvik,64.8945,-23.7142,34.47,96,100,18.72,IS,1680117064
181,raudeberg,61.9875,5.1352,36.27,68,13,6.31,NO,1680117064
182,atar,20.5169,-13.0499,94.6,5,0,6.02,MR,1680117064
183,evensk,61.95,159.2333,-3.62,90,27,6.69,RU,1680117065
184,ribeira grande,38.5167,-28.7,63.0,82,20,25.01,PT,1680117065
185,montepuez,-13.1256,38.9997,69.64,99,100,4.9,MZ,1680117066
186,saint-augustin,51.226,-58.6502,34.61,74,100,7.23,CA,1680117066
187,revda,56.801,59.9303,23.52,89,14,3.42,RU,1680117066
188,fairbanks,64.8378,-147.7164,26.82,63,100,2.3,US,1680116816
189,ko samui,9.5357,99.9357,82.72,70,99,5.23,TH,1680117066
190,tiksi,71.6872,128.8694,-22.79,100,80,7.07,RU,1680117067
191,acurenam,1.0322,10.6488,67.24,97,100,1.48,GQ,1680117067
192,el jicaro,14.9167,-89.9,92.73,27,0,5.53,GT,1680117067
193,cairns,-16.9167,145.7667,77.07,100,68,0.0,AU,1680116811
194,juba,4.8517,31.5825,74.82,74,100,8.34,SS,1680117068
195,ixtapa,20.7,-105.2,74.43,69,100,8.05,MX,1680116809
196,iberia,29.9502,-91.7507,58.98,67,100,10.36,US,1680117068
197,richards bay,-28.783,32.0377,69.67,88,97,9.91,ZA,1680117068
198,staryy nadym,65.6118,72.6842,5.04,93,93,18.28,RU,1680117068
199,souillac,-20.5167,57.5167,78.49,81,100,11.7,MU,1680117068
200,tilichiki,60.4667,166.1,15.42,91,100,5.95,RU,1680117069
201,bodden town,19.2833,-81.25,84.2,65,20,8.05,KY,1680117069
202,east london,-33.0153,27.9116,65.25,62,100,17.74,ZA,1680117069
203,labuhan,-6.8844,112.2051,78.76,86,100,5.41,ID,1680117069
204,tigil,57.8,158.6667,3.0,97,91,5.91,RU,1680117070
205,kindu,-2.95,25.95,75.2,83,79,2.08,CD,1680117070
206,mangan,27.5167,88.5333,61.63,63,94,4.34,IN,1680117071
207,vostok,46.4856,135.8833,30.04,79,83,6.04,RU,1680117071
208,ancud,-41.8697,-73.8203,53.76,57,88,10.71,CL,1680117071
209,carndonagh,55.25,-7.2667,52.25,89,100,10.51,IE,1680117071
210,bubanza,-3.1167,29.4,68.05,90,95,2.53,BI,1680117072
211,castro,-24.7911,-50.0119,78.31,64,56,4.54,BR,1680117072
212,ipixuna,-1.7625,-48.8043,79.99,81,83,5.73,BR,1680117072
213,baruun-urt,46.6806,113.2792,36.46,52,6,1.92,MN,1680117072
214,san patricio,28.017,-97.5169,71.87,68,100,10.13,US,1680117073
